"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","leukocyte chemotaxis","GO:0030595","0.0000012955836126246377","5.887534553863237","224","362","22","17847","SBDS,MPP1,HSD3B7,CSF1,IL23A,CCR1,CXCL8,LYN,CCR2,TNFSF11,LGALS3,TNFSF14,IL1A,CCL4L2,CCL3L3,FLT1,IL1RN,XCL2,HRH1,CCL4,CCL3,IL10"
"GO:BP","cell surface receptor signaling pathway","GO:0007166","0.0000012955836126246377","5.887534553863237","3128","362","110","17847","ARF4,PTPN1,FAM83G,B9D1,FUT8,SOCS1,PERP,SOCS3,RAPGEF2,PSME3,SNX5,PELO,RAB7A,STRAP,RUNX1,IFT57,BCL2L11,NOTCH1,TGFBRAP1,SIAH2,P2RX7,IL22,UGCG,IGF1,SPEN,CSF1,SEMA7A,RAP1B,IL23A,SDCBP,ERRFI1,CTTN,CSF2,MTDH,TNFRSF1B,CITED2,FYN,CRK,CCR1,CEACAM1,CD109,SLAMF1,RAB5A,CXCL8,LYN,CBFB,GALR2,CCR2,MAOA,IFNG,ACVR1B,RPS6KA5,CSNK2A2,ATP6V1B2,TNF,ARMC9,TNFSF11,LTA,AGO2,ITGB1,CD226,LGALS3,TLR4,PTPRE,FGFRL1,TNFSF14,MYO1E,IL1A,CCL4L2,ITGA2,IGF2R,DLG5,CCL3L3,IL3,IL2,IL2RA,FLT1,IL31,IL1RL1,SHB,CEBPA,IL1RAP,EYA3,ZBED2,CTNNA1,CD3EAP,IL1RN,CHSY1,CD40LG,TBL1X,XCL2,RNF165,FBXW11,SGPL1,GPR87,ITGB5,FAM129B,PTCH1,IGHV1-3,TGFBR3,SLA,CTLA4,CCL4,DSTYK,CCL3,CRIM1,HBEGF,IL10,SPRY4,IGF2"
"GO:BP","regulation of T cell activation","GO:0050863","0.0000012955836126246377","5.887534553863237","322","362","27","17847","SOCS1,RUNX1,IGF1,IL23A,TNFRSF1B,FYN,CEACAM1,HLX,ICOS,LYN,CBFB,CCR2,IFNG,TNFSF11,CEBPB,LGALS3,TNFSF14,DLG5,IL2,IL2RA,PRDM1,CD40LG,PDCD1,CTLA4,CLECL1,IL10,IGF2"
"GO:BP","leukocyte cell-cell adhesion","GO:0007159","0.0000012955836126246377","5.887534553863237","347","362","28","17847","SOCS1,RUNX1,GCNT1,IGF1,IL23A,FYN,CEACAM1,HLX,ICOS,LYN,CBFB,CCR2,IFNG,TNF,TNFSF11,ITGB1,CEBPB,LGALS3,TNFSF14,DLG5,IL2,IL2RA,CD40LG,PDCD1,CTLA4,CLECL1,IL10,IGF2"
"GO:BP","regulation of leukocyte cell-cell adhesion","GO:1903037","0.0000012955836126246377","5.887534553863237","311","362","26","17847","SOCS1,RUNX1,IGF1,IL23A,FYN,CEACAM1,HLX,ICOS,LYN,CBFB,CCR2,IFNG,TNF,TNFSF11,CEBPB,LGALS3,TNFSF14,DLG5,IL2,IL2RA,CD40LG,PDCD1,CTLA4,CLECL1,IL10,IGF2"
"GO:BP","cytokine-mediated signaling pathway","GO:0019221","0.0000015294763038974901","5.815457247130615","797","362","44","17847","PTPN1,SOCS1,SOCS3,PSME3,RUNX1,IL22,UGCG,CSF1,RAP1B,IL23A,CSF2,TNFRSF1B,FYN,CRK,CCR1,CEACAM1,CXCL8,CBFB,CCR2,MAOA,IFNG,RPS6KA5,TNF,TNFSF11,LTA,ITGB1,TNFSF14,IL1A,CCL4L2,CCL3L3,IL3,IL2,IL2RA,IL31,IL1RL1,CEBPA,IL1RAP,IL1RN,CD40LG,XCL2,FBXW11,CCL4,CCL3,IL10"
"GO:BP","positive regulation of cell-cell adhesion","GO:0022409","0.0000026243726786861136","5.5809744921605935","260","362","23","17847","SOCS1,RUNX1,IGF1,IL23A,CITED2,FYN,HLX,ICOS,LYN,CBFB,CCR2,IFNG,TNF,TNFSF11,TNFSF14,IL2,IL2RA,CD40LG,PDCD1,CTLA4,CLECL1,IL10,IGF2"
"GO:BP","cell chemotaxis","GO:0060326","0.0000026243726786861136","5.5809744921605935","307","362","25","17847","SBDS,MPP1,NOTCH1,HSD3B7,CSF1,IL23A,CRK,CCR1,CXCL8,LYN,CCR2,TNFSF11,LGALS3,TNFSF14,IL1A,CCL4L2,CCL3L3,FLT1,IL1RN,XCL2,HRH1,CCL4,CCL3,HBEGF,IL10"
"GO:BP","in utero embryonic development","GO:0001701","0.0000026243726786861136","5.5809744921605935","379","362","28","17847","B9D1,FUT8,SBDS,ATP11A,SOCS3,PELO,BCL2L11,NOTCH1,COPS2,IGF1,OCRL,CSF2,CITED2,RPL7L1,TMED2,HEG1,ACVR1B,ALKBH1,ITGB1,CEBPB,MYO1E,PRDM1,CEBPA,OTUD7B,PTCH1,FOSL1,IL10,IGF2"
"GO:BP","positive regulation of leukocyte cell-cell adhesion","GO:1903039","0.0000028026576953001654","5.552429941883065","221","362","21","17847","SOCS1,RUNX1,IGF1,IL23A,FYN,HLX,ICOS,LYN,CBFB,CCR2,IFNG,TNF,TNFSF11,TNFSF14,IL2,IL2RA,CD40LG,PDCD1,CTLA4,CLECL1,IGF2"
"GO:BP","regulation of cell-cell adhesion","GO:0022407","0.0000031810616529926563","5.497427913635476","411","362","29","17847","SOCS1,RUNX1,IGF1,IL23A,RGCC,CITED2,FYN,CEACAM1,HLX,ICOS,LYN,CBFB,CCR2,IFNG,TNF,TNFSF11,CEBPB,LGALS3,TNFSF14,DLG5,IL2,IL2RA,IL1RN,CD40LG,PDCD1,CTLA4,CLECL1,IL10,IGF2"
"GO:BP","positive regulation of T cell activation","GO:0050870","0.0000034722088364325978","5.459394162014334","205","362","20","17847","SOCS1,RUNX1,IGF1,IL23A,FYN,HLX,ICOS,LYN,CBFB,CCR2,IFNG,TNFSF11,TNFSF14,IL2,IL2RA,CD40LG,PDCD1,CTLA4,CLECL1,IGF2"
"GO:BP","cell death","GO:0008219","0.000006458470572549814","5.189870314906297","2290","362","85","17847","ARF4,PTPN1,AEN,PMP22,VAPA,PERP,PPP2CB,CLPTM1L,RYBP,SOCS3,GADD45A,RAPGEF2,PSME3,IFT57,PPP1R15A,SUPV3L1,BCL2L11,NOTCH1,KIF1B,MYDGF,SIAH2,P2RX7,ZDHHC16,IGF1,CSF1,SRA1,GZMA,SRGN,CTTN,RGCC,DUSP6,CSF2,NAMPT,ANKLE2,MTDH,TNFRSF1B,CITED2,FYN,FXN,PLEKHN1,LYN,ARF6,IFNG,ACVR1B,PDE12,CSNK2A2,TNF,ALKBH1,NACC2,LTA,ITGB1,CEBPB,LGALS3,TLR4,LRPAP1,TNFSF14,SHC4,IL1A,PHLDA1,RILPL1,FOSL2,IGF2R,DLG5,IL2,IL2RA,RNF157,SHB,EI24,EYA3,PICALM,CTNNA1,DCUN1D3,GRAMD4,CD40LG,SGPL1,GZMB,RHOB,PDCD1,FAM129B,FOSL1,CTLA4,DSTYK,CCL3,EMP1,IL10"
