"","X","X1_A44_6hr_stim_July","X2_A44_6hr_ctrl_July","X3_A45_6hr_stim_July","X4_A45_6hr_ctrl_July","X5_A44_24hr_stim_July","X6_A44_24hr_ctrl_July","X7_A45_24hr_stim_July","X8_A45_24hr_ctrl_July","X9_A42_24hr_stim_July","X10_A42_24hr_ctrl_July","X11_A43_24hr_stim_July","X12_A43_24hr_ctrl_July","X1_A42_6hr_stim_August","X2_A42_6hr_ctrl_August","X3_A43_6hr_stim_August","X4_A43_6hr_ctrl_August","X5_A42_24hr_stim_August","X6_A42_24hr_ctrl_August","X7_A43_24hr_stim_August","X8_A43_24hr_ctrl_August","X1_A44_6hr_stim_November","X2_A44_6hr_ctrl_November","X3_A45_6hr_stim_November","X4_A45_6hr_ctrl_November"
"1","A1BG",97.38,116.48,51.73,123.86,72.87,120.2,44.57,115.19,16.18,89.05,43.27,124.22,46.78,50.01,17,37.73,25.12,46.76,15.68,30.6,170.06,155.79,91,166.82
"2","A1BG-AS1",105.61,158.03,65.84,143.9,119.2,157.78,48.56,152.93,36.97,122.9,33.29,103.87,96.77,82,56.76,97.03,60.21,102.58,50.28,85.72,242.45,240.22,143.07,295.88
"3","A2M",3,8.64,8,27,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,1,5,20,4,47
"6","AAAS",444,462,416,592,871,493,947,510,754,361,820,426,241,352,149,335,452,393,430,323,699,700,537,661
"7","AACS",398,449,356,446,579,515,432,467,399,334,511,338,174,253,201,248,321,309,321,264,514,544,432,536
"8","AAED1",69,28,74,43,48,37,44,37,70,49,145,60,23,20,32,22,57,30,92,39,63,55,92,74
"9","AAGAB",841,459,797,465,974,464,771,403,774,339,781,367,517,488,600,353,933,443,922,379,962,711,918,831
"10","AAK1",1659,2667,1355,2845,1548,2508,1152,2501,1085,1847,1242,1835,1974,2504.54,1142.96,2511,1157,2190,1049,1840,2653,3073,1513,3050
"11","AAMDC",13,29,9,35,16.21,38,12,24,15,29,15,28,33,40,15,36.3,6,37,9,33,43,58,10,57
"12","AAMP",1328,988,1509,1073,1824,956,2058,988,1469,834,1607,979,525,594,495,526,1223,564,1219,483,1610,1528,1647,1410
"14","AAR2",1019,586,1302,631,869,560,834,615,652,596,670,501,430,462,541,453,842,469,676,406,1009,846,1434,926
"15","AARS",4021,885,3913,1016,2862,832,2742,864,2007,814,2612,704,761,902,1055,679,1710,766,1602,616,1957,1389,4876,1390
"16","AARS2",421,266.97,444.9,261.98,670.97,233,753.99,227.91,407,199.98,433.95,161,173.89,173,182.97,136.99,371.99,180.96,396.98,108,468.99,422.96,562.96,424.98
"17","AARSD1",537.95,213.16,967,193.07,386.25,188,560,223,378.78,179,455.52,167,181,182,278.98,118,540.57,185,480,156,384,288.98,876,300
"18","AASDH",233,349,180,353,311,257,244,283,173,193,216,243,271,335,120,257,223,284,216,251,407,399,236,479
"19","AASDHPPT",836,596,1053,655,1026,592,968,663,794,609,929,593,692.93,816,659,617,1225.98,695,1152.97,697,1028.94,944.91,1347.98,1010.82
"20","AASS",5,6,1,3,14,7,7,9,5,3,1,1,14,6,8,9,17,9,18,4,9,6,2,11
"22","AATF",1824,905,2532,998,1830,805,1996,833,1445,849,1679,897,685,748,947,665,1993,758,1837,639,1515,1165,2511,1249
"24","ABALON",12.52,20.17,37.29,15.24,29.94,3.12,16.29,18,12.4,7.49,14.36,10.73,4.13,1.98,28.1,1.91,16.58,4.7,14.2,13.19,39.9,13.96,40.36,13.35
"25","ABAT",511,409,193,480,458,348,166,363,142,352,155,332,575,500,443,394,234,307,205,286.78,1041.92,503,442,588
"28","ABCA1",0,2,3,1,0,1,1,2,0,1,0,2,16,18,6,42,3,4,0,11,2,7,1,10
"29","ABCA10",0,7,4,4,3,8,0,5,0,2,0,7,15,21,3,16,2,22,0,24,7,5,3,9
"32","ABCA2",2551,8536,1375,10709,1855,8854,926,9461,115,2781,110,2958,3860,5857,1680,7050,403,4087,250,4911,5787,8454,1845,10246
"33","ABCA3",159,276,143,348,205,355,196,367,156,307,191,271,141,178,78,194,141,200,120,207,201,267,126,293
"34","ABCA5",152,282,94,301,134,298,38,368,58,181,54,183,468,482,182,387,133,521,114,485,410,356,182,417
"36","ABCA7",593,2854,117,3333,651,4301,240,4727,91,1473,94,1375,700,1088,243,1308,159,1631,144,1869,2208,2984,293,3239
"38","ABCB1",540,2133.96,349,2267,831,1675,260,1885.99,101,953,96,1134,1423,2268,296,2283,173,1467.97,129,1501,1129,1800,238.99,2056.99
"39","ABCB10",440,541,533,629,1073,535,873,594,760,478,888,483,560,754,321,591,915,716,996,644,675,739,620,814
"41","ABCB6",241.53,84.95,243.69,73.68,266.21,102.5,279.9,88.36,320.33,78.92,356.23,85.39,61.33,58.66,176.38,62.99,259.32,74.07,330.82,83.84,160.22,130.32,354.69,131.82
"42","ABCB7",309,354,330,357,411,304,430,323,359,402,503,380,298,324,166,291,327,322,382,255,484,475,413,516
"43","ABCB8",506,556,401,537,775,449,788,501,488,328,537,310,200,238.73,209,272,334,218,443,201,831,883.82,599.78,762.8
"44","ABCB9",7.24,23.15,6,24,50.53,16,49.1,22,14,23.21,33,19.14,8,19.53,1,12,32.85,12.6,22.99,10,27,38.06,5.63,31
"45","ABCC1",4017,2617,3995,2657,4140,2163,2730,2059,2262,2272,2267,2082,3088,2318,2201,1931,2538,1833,2306,1422,6467,3629,5017,3600
"46","ABCC10",659,971,672,1102,525,955,466,1070,319,641,335,655,474,723,347,612,293,592,257,521,1186,1455,814,1395
"48","ABCC2",15,20,3,30,7,21,8,26,4,47,4,43,53,58,37,49,17,35,15,54,26,41,16,51
