sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"A1BG","Approved symbol","A1BG","alpha-1-B glycoprotein","HGNC:5","19q13.43"
"A1BG-AS1","Approved symbol","A1BG-AS1","A1BG antisense RNA 1","HGNC:37133","19q13.43"
"A2M","Approved symbol","A2M","alpha-2-macroglobulin","HGNC:7","12p13.31"
"A2M-AS1","Approved symbol","A2M-AS1","A2M antisense RNA 1","HGNC:27057","12p13.31"
"A4GALT","Approved symbol","A4GALT","alpha 1,4-galactosyltransferase (P blood group)","HGNC:18149","22q13.2"
"AAAS","Approved symbol","AAAS","aladin WD repeat nucleoporin","HGNC:13666","12q13.13"
"AACS","Approved symbol","AACS","acetoacetyl-CoA synthetase","HGNC:21298","12q24.31"
"AAED1","Previous symbol","PRXL2C","peroxiredoxin like 2C","HGNC:16881","9q22.33"
"AAGAB","Approved symbol","AAGAB","alpha and gamma adaptin binding protein","HGNC:25662","15q23"
"AAK1","Approved symbol","AAK1","AP2 associated kinase 1","HGNC:19679","2p13.3"
"AAMDC","Approved symbol","AAMDC","adipogenesis associated Mth938 domain containing","HGNC:30205","11q14.1"
"AAMP","Approved symbol","AAMP","angio associated migratory cell protein","HGNC:18","2q35"
"AANAT","Approved symbol","AANAT","aralkylamine N-acetyltransferase","HGNC:19","17q25.1"
"AAR2","Approved symbol","AAR2","AAR2 splicing factor","HGNC:15886","20q11.23"
"AARS","Previous symbol","AARS1","alanyl-tRNA synthetase 1","HGNC:20","16q22.1"
"AARS2","Approved symbol","AARS2","alanyl-tRNA synthetase 2, mitochondrial","HGNC:21022","6p21.1"
"AARSD1","Approved symbol","AARSD1","alanyl-tRNA synthetase domain containing 1","HGNC:28417","17q21.31"
"AASDH","Approved symbol","AASDH","aminoadipate-semialdehyde dehydrogenase","HGNC:23993","4q12"
"AASDHPPT","Approved symbol","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","HGNC:14235","11q22.3"
"AASS","Approved symbol","AASS","aminoadipate-semialdehyde synthase","HGNC:17366","7q31.32"
"AATBC","Approved symbol","AATBC","apoptosis associated transcript in bladder cancer","HGNC:51526","21q22.3"
"AATF","Approved symbol","AATF","apoptosis antagonizing transcription factor","HGNC:19235","17q12"
"AATK","Approved symbol","AATK","apoptosis associated tyrosine kinase","HGNC:21","17q25.3"
"ABALON","Approved symbol","ABALON","apoptotic BCL2L1-antisense long non-coding RNA","HGNC:49667","20q11.21"
"ABAT","Approved symbol","ABAT","4-aminobutyrate aminotransferase","HGNC:23","16p13.2"
"ABC12-49244600F4.4","Unmatched","","","",""
"ABC7-42404400C24.1","Unmatched","","","",""
"ABCA1","Approved symbol","ABCA1","ATP binding cassette subfamily A member 1","HGNC:29","9q31.1"
"ABCA10","Approved symbol","ABCA10","ATP binding cassette subfamily A member 10","HGNC:30","17q24.3"
"ABCA12","Approved symbol","ABCA12","ATP binding cassette subfamily A member 12","HGNC:14637","2q35"
"ABCA13","Approved symbol","ABCA13","ATP binding cassette subfamily A member 13","HGNC:14638","7p12.3"
"ABCA2","Approved symbol","ABCA2","ATP binding cassette subfamily A member 2","HGNC:32","9q34.3"
"ABCA3","Approved symbol","ABCA3","ATP binding cassette subfamily A member 3","HGNC:33","16p13.3"
"ABCA5","Approved symbol","ABCA5","ATP binding cassette subfamily A member 5","HGNC:35","17q24.3"
"ABCA6","Approved symbol","ABCA6","ATP binding cassette subfamily A member 6","HGNC:36","17q24.2-q24.3"
"ABCA7","Approved symbol","ABCA7","ATP binding cassette subfamily A member 7","HGNC:37","19p13.3"
"ABCA9","Approved symbol","ABCA9","ATP binding cassette subfamily A member 9","HGNC:39","17q24.2"
"ABCB1","Approved symbol","ABCB1","ATP binding cassette subfamily B member 1","HGNC:40","7q21.12"
"ABCB10","Approved symbol","ABCB10","ATP binding cassette subfamily B member 10","HGNC:41","1q42.13"
"ABCB4","Approved symbol","ABCB4","ATP binding cassette subfamily B member 4","HGNC:45","7q21.12"
"ABCB6","Approved symbol","ABCB6","ATP binding cassette subfamily B member 6 (Langereis blood group)","HGNC:47","2q35"
"ABCB7","Approved symbol","ABCB7","ATP binding cassette subfamily B member 7","HGNC:48","Xq13.3"
"ABCB8","Approved symbol","ABCB8","ATP binding cassette subfamily B member 8","HGNC:49","7q36.1"
"ABCB9","Approved symbol","ABCB9","ATP binding cassette subfamily B member 9","HGNC:50","12q24.31"
"ABCC1","Approved symbol","ABCC1","ATP binding cassette subfamily C member 1","HGNC:51","16p13.11"
"ABCC10","Approved symbol","ABCC10","ATP binding cassette subfamily C member 10","HGNC:52","6p21.1"
"ABCC11","Approved symbol","ABCC11","ATP binding cassette subfamily C member 11","HGNC:14639","16q12.1"
"ABCC2","Approved symbol","ABCC2","ATP binding cassette subfamily C member 2","HGNC:53","10q24.2"
